,nl,my,mx,jp,lv,lt,gb,gr,fr,fi,ee,es,ro,ph,pt,pl,nz,no,de,dk,cz,ch,co,ca,za,vn,us,uy,it,il,ie,hk,hu,br,bg,be,at,ar,au,tw,tr,th,se,sg
0,2.636,2.508,2.592,2.6479999999999997,2.535,2.586,2.436,2.525,2.598,2.766,2.481,2.592,2.525,2.489,2.666,2.689,2.489,2.408,2.542,2.6479999999999997,2.6479999999999997,2.481,2.693,2.408,2.436,2.408,2.408,2.592,2.6839999999999997,2.525,2.436,2.408,2.6479999999999997,2.753,2.525,2.636,2.542,2.592,2.666,2.408,2.41,2.408,2.408,2.408
1,2.636,2.452,2.592,2.6479999999999997,2.535,2.622,2.436,2.525,2.598,2.766,2.4749999999999996,2.592,2.481,2.4619999999999997,2.666,2.689,2.489,2.408,2.542,2.6479999999999997,2.6479999999999997,2.481,2.693,2.408,2.436,2.452,2.408,2.592,2.6839999999999997,2.481,2.436,2.408,2.6479999999999997,2.753,2.525,2.636,2.542,2.592,2.498,2.408,2.41,2.408,2.408,2.408
2,2.636,2.508,2.566,2.455,2.535,2.622,2.666,2.408,2.598,2.766,2.4749999999999996,2.592,2.481,2.4619999999999997,2.666,2.689,2.489,2.408,2.542,2.6479999999999997,2.421,2.542,2.6399999999999997,2.408,2.408,2.452,2.408,2.592,2.6839999999999997,2.481,2.666,2.408,2.6479999999999997,2.753,2.51,2.666,2.676,2.592,2.666,2.452,2.41,2.452,2.509,2.452
3,2.636,2.508,2.566,2.6479999999999997,2.535,2.586,2.586,2.408,2.598,2.766,2.417,2.592,2.481,2.408,2.481,2.689,2.492,2.408,2.542,2.408,2.418,2.408,2.6399999999999997,2.408,2.408,2.55,2.408,2.592,2.475,2.409,2.666,2.408,2.6479999999999997,2.753,2.51,2.666,2.553,2.592,2.666,2.452,2.41,2.452,2.408,2.452
4,2.636,2.408,2.566,2.566,2.535,2.586,2.586,2.469,2.598,2.766,2.417,2.592,2.481,2.408,2.469,2.689,2.492,2.408,2.542,2.477,2.41,2.469,2.6399999999999997,2.408,2.408,2.55,2.327,2.592,2.484,2.604,2.586,2.408,2.6479999999999997,2.753,2.51,2.586,2.542,2.592,2.666,2.408,2.41,2.408,2.408,2.408
5,2.636,2.408,2.648,2.566,2.535,2.586,2.586,2.408,2.5500000000000003,2.766,2.417,2.648,2.469,2.408,2.469,2.689,2.586,2.408,2.542,2.496,2.41,2.648,2.648,2.408,2.408,2.55,2.2680000000000002,2.648,2.648,2.604,2.586,2.408,2.6479999999999997,2.6149999999999998,2.51,2.586,2.542,2.648,2.666,2.408,2.41,2.524,2.408,2.408
6,2.636,2.408,2.648,2.566,2.586,2.586,2.586,2.524,2.5500000000000003,2.766,2.586,2.648,2.408,2.408,2.469,2.431,2.586,2.492,2.542,2.496,2.6479999999999997,2.648,2.648,2.586,2.408,2.6479999999999997,2.586,2.648,2.648,2.604,2.586,2.408,2.6479999999999997,2.6149999999999998,2.5140000000000002,2.586,2.542,2.648,2.586,2.408,2.41,2.524,2.586,2.6479999999999997
7,2.636,2.57,2.648,2.57,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.469,2.431,2.586,2.492,2.542,2.5589999999999997,2.6479999999999997,2.648,2.648,2.408,2.408,2.6479999999999997,2.2680000000000002,2.648,2.648,2.604,2.586,2.408,2.6479999999999997,2.6149999999999998,2.51,2.586,2.542,2.648,2.586,2.408,2.41,2.57,2.492,2.6479999999999997
8,2.636,2.408,2.648,2.57,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.443,2.431,2.586,2.492,2.451,2.5589999999999997,2.6479999999999997,2.648,2.648,2.408,2.408,2.6020000000000003,2.2680000000000002,2.648,2.648,2.604,2.586,2.408,2.6479999999999997,2.6149999999999998,2.469,2.586,2.542,2.648,2.586,2.408,2.41,2.57,2.492,2.6479999999999997
9,2.6950000000000003,2.408,2.648,2.6479999999999997,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.443,2.431,2.586,2.492,2.451,2.549,2.6479999999999997,2.648,2.648,2.408,2.408,2.6020000000000003,2.2680000000000002,2.648,2.648,2.6479999999999997,2.586,2.408,2.6479999999999997,2.6149999999999998,2.469,2.586,2.542,2.648,2.586,2.408,2.41,2.57,2.408,2.6479999999999997
10,2.6950000000000003,2.408,2.648,2.57,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.443,2.431,2.586,2.492,2.451,2.549,2.6479999999999997,2.648,2.648,2.408,2.408,2.6020000000000003,2.2680000000000002,2.648,2.648,2.604,2.586,2.408,2.6479999999999997,2.6149999999999998,2.469,2.586,2.542,2.648,2.586,2.408,2.408,2.57,2.408,2.6479999999999997
11,2.6950000000000003,2.408,2.566,2.57,2.586,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.4090000000000003,2.57,2.443,2.431,2.586,2.492,2.451,2.549,2.6479999999999997,2.451,2.6399999999999997,2.445,2.408,2.6020000000000003,2.445,2.648,2.648,2.6479999999999997,2.586,2.408,2.6479999999999997,2.6149999999999998,2.469,2.586,2.542,2.648,2.586,2.408,2.41,2.57,2.408,2.6479999999999997
12,2.6950000000000003,2.408,2.566,2.566,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.4090000000000003,2.57,2.443,2.431,2.586,2.492,2.451,2.4699999999999998,2.6479999999999997,2.408,2.6399999999999997,2.408,2.408,2.408,2.2680000000000002,2.648,2.416,2.604,2.586,2.408,2.6479999999999997,2.567,2.4619999999999997,2.586,2.451,2.648,2.586,2.408,2.41,2.57,2.408,2.408
13,2.6950000000000003,2.408,2.566,2.566,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.408,2.431,2.586,2.492,2.733,2.4699999999999998,2.408,2.733,2.6399999999999997,2.408,2.408,2.408,2.2680000000000002,2.648,2.416,2.604,2.586,2.408,2.6479999999999997,2.577,2.483,2.408,2.733,2.648,2.586,2.408,2.313,2.57,2.408,2.408
14,2.6950000000000003,2.408,2.566,2.566,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.408,2.447,2.586,2.492,2.733,2.4699999999999998,2.408,2.733,2.6399999999999997,2.408,2.408,2.6020000000000003,2.2680000000000002,2.648,2.416,2.604,2.586,2.408,2.6479999999999997,2.577,2.483,2.408,2.733,2.648,2.586,2.408,2.313,2.57,2.408,2.408
15,2.6950000000000003,2.408,2.566,2.566,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.408,2.5229999999999997,2.586,2.3529999999999998,2.733,2.424,2.408,2.733,2.6399999999999997,2.408,2.408,2.408,2.37,2.648,2.416,2.464,2.586,2.408,2.6479999999999997,2.577,2.483,2.408,2.733,2.648,2.498,2.408,2.41,2.57,2.408,2.408
16,2.6950000000000003,2.408,2.566,2.566,2.535,2.412,2.436,2.412,2.545,2.766,2.417,2.648,2.408,2.57,2.408,2.5229999999999997,2.424,2.4170000000000003,2.733,2.441,2.408,2.412,2.6399999999999997,2.408,2.408,2.408,2.37,2.648,2.416,2.464,2.436,2.408,2.408,2.6149999999999998,2.483,2.408,2.733,2.648,2.408,2.408,2.408,2.564,2.408,2.408
17,2.6950000000000003,2.408,2.566,2.481,2.535,2.4170000000000003,2.436,2.412,2.545,2.766,2.417,2.648,2.408,2.57,2.408,2.428,2.424,2.4170000000000003,2.733,2.441,2.408,2.412,2.6399999999999997,2.4170000000000003,2.408,2.408,2.37,2.648,2.416,2.4579999999999997,2.436,2.408,2.408,2.577,2.483,2.408,2.733,2.648,2.408,2.408,2.313,2.564,2.408,2.408
18,2.6950000000000003,2.408,2.566,2.481,2.535,2.4170000000000003,2.436,2.412,2.545,2.766,2.4170000000000003,2.648,2.408,2.57,2.408,2.428,2.424,2.4170000000000003,2.733,2.441,2.412,2.4170000000000003,2.6399999999999997,2.4170000000000003,2.408,2.408,2.37,2.648,2.416,2.6479999999999997,2.436,2.408,2.4170000000000003,2.577,2.483,2.412,2.733,2.648,2.412,2.408,2.464,2.564,2.412,2.408
19,2.476,2.408,2.566,2.481,2.535,2.4170000000000003,2.436,2.4170000000000003,2.545,2.766,2.4170000000000003,2.648,2.412,2.57,2.443,2.428,2.424,2.4170000000000003,2.424,2.441,2.4170000000000003,2.4170000000000003,2.6399999999999997,2.4170000000000003,2.4170000000000003,2.408,2.4170000000000003,2.648,2.4170000000000003,2.6479999999999997,2.492,2.4170000000000003,2.4170000000000003,2.6180000000000003,2.483,2.4170000000000003,2.424,2.648,2.424,2.408,2.464,2.564,2.412,2.4170000000000003
20,2.6950000000000003,2.408,2.566,2.481,2.535,2.586,2.586,2.408,2.586,2.766,2.417,2.648,2.421,2.57,2.443,2.5229999999999997,2.666,2.408,2.733,2.586,2.6479999999999997,2.41,2.6399999999999997,2.497,2.6479999999999997,2.6479999999999997,2.497,2.648,2.475,2.6479999999999997,2.586,2.408,2.6479999999999997,2.6180000000000003,2.5300000000000002,2.586,2.733,2.648,2.666,2.408,2.464,2.564,2.421,2.6479999999999997
21,2.6950000000000003,2.408,2.566,2.481,2.535,2.586,2.586,2.408,2.545,2.766,2.417,2.648,2.408,2.57,2.408,2.5229999999999997,2.586,2.408,2.733,2.422,2.6479999999999997,2.565,2.6399999999999997,2.497,2.6479999999999997,2.6479999999999997,2.497,2.648,2.475,2.6479999999999997,2.586,2.408,2.6479999999999997,2.6180000000000003,2.5300000000000002,2.458,2.733,2.648,2.408,2.408,2.464,2.564,2.408,2.6479999999999997
22,2.6950000000000003,2.408,2.566,2.481,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.6180000000000003,2.5229999999999997,2.408,2.5389999999999997,2.733,2.422,2.6479999999999997,2.565,2.6399999999999997,2.497,2.6479999999999997,2.6479999999999997,2.497,2.648,2.416,2.6479999999999997,2.586,2.408,2.6479999999999997,2.6180000000000003,2.5300000000000002,2.408,2.733,2.648,2.408,2.408,2.498,2.564,2.408,2.6479999999999997
23,2.476,2.408,2.566,2.481,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.6180000000000003,2.5229999999999997,2.408,2.5389999999999997,2.733,2.422,2.6479999999999997,2.565,2.592,2.408,2.6479999999999997,2.6479999999999997,2.497,2.648,2.463,2.6479999999999997,2.586,2.408,2.6479999999999997,2.6180000000000003,2.5300000000000002,2.408,2.733,2.648,2.408,2.408,2.498,2.564,2.408,2.6479999999999997
24,2.476,2.408,2.566,2.481,2.535,2.622,2.586,2.498,2.545,2.766,2.408,2.648,2.408,2.362,2.6180000000000003,2.5229999999999997,2.586,2.5389999999999997,2.733,2.422,2.6479999999999997,2.565,2.592,2.408,2.6479999999999997,2.6479999999999997,2.497,2.648,2.416,2.6479999999999997,2.586,2.408,2.6479999999999997,2.644,2.5300000000000002,2.408,2.733,2.648,2.408,2.408,2.498,2.564,2.408,2.6479999999999997
